Size	   Bubble Sort	Selection Sort	Insertion Sort
50	193357.88	84002.88	65244.004
100	104242.22	22671.12	135659.73
150	214827.34	55265.715	79992.66
200	235389.77	76222.48	86058.32
250	415124.16	118478.62	159669.78
300	804635.25	221823.92	259110.0
350	752014.25	187669.55	265875.2
400	815013.44	221568.98	320532.6
450	1204716.4	316263.0	459117.3
500	1562691.2	416864.88	629873.2
550	1709500.6	496966.16	669185.3
600	1730245.8	471362.4	649019.4
650	2263705.0	609215.3	854244.6
700	2405424.8	649897.25	917640.94
750	2908844.5	784160.8	1129981.9
800	3281355.0	877789.6	1238874.8
850	3667346.5	992342.9	1406933.2
900	4127394.2	1092212.4	1608143.4
950	4377364.5	1164788.1	1693314.4
1000	4916243.5	1284805.9	1903760.8
